24	7478	
12730	6752	
12731	6557	
12736	198	
12737	195	
3	19	
7	7	
27649	6	
14125	6	
14119	6	
14114	6	
14109	6	
14104	6	
14099	6	
14093	6	
14088	6	
14083	6	
14078	6	
14073	6	
14068	6	
14062	6	
14057	6	
14054	6	
14048	6	
14043	6	
14038	6	
14035	6	
14030	6	
14025	6	
14019	6	
14013	6	
14007	6	
14001	6	
13995	6	
13989	6	
13984	6	
13979	6	
12845	6	
12651	6	
11414	6	
10818	6	
10188	6	
9263	6	
9208	6	
8863	6	
8491	6	
8210	6	
8140	6	
8055	6	
7880	6	
7809	6	
7804	6	
7623	6	
7383	6	
6932	6	
6695	6	
6371	6	
6055	6	
5899	6	
5707	6	
5648	6	
5634	6	
5597	6	
5463	6	
5154	6	
4951	6	
4817	6	
4574	6	
4245	6	
4173	6	
4131	6	
4117	6	
4074	6	
3909	6	
3852	6	
3834	6	
3700	6	
3685	6	
3586	6	
3571	6	
3548	6	
3414	6	
3398	6	
3387	6	
3378	6	
3275	6	
3265	6	
3203	6	
3158	6	
3103	6	
3068	6	
3063	6	
3024	6	
2889	6	
2808	6	
2732	6	
2717	6	
2706	6	
2686	6	
2671	6	
2600	6	
2586	6	
2474	6	
2469	6	
2459	6	
2394	6	
2368	6	
2333	6	
2271	6	
2225	6	
2191	6	
2181	6	
2151	6	
2127	6	
2092	6	
2037	6	
2032	6	
1992	6	
1969	6	
1964	6	
1946	6	
1904	6	
1851	6	
1831	6	
1792	6	
1768	6	
1724	6	
1718	6	
1707	6	
1694	6	
1688	6	
1629	6	
1624	6	
1618	6	
1448	6	
1442	6	
1397	6	
1380	6	
1358	6	
1338	6	
1047	6	
1017	6	
1001	6	
956	6	
951	6	
937	6	
912	6	
879	6	
869	6	
858	6	
853	6	
837	6	
831	6	
815	6	
801	6	
792	6	
769	6	
760	6	
754	6	
734	6	
710	6	
694	6	
679	6	
663	6	
657	6	
642	6	
604	6	
545	6	
526	6	
506	6	
495	6	
484	6	
473	6	
468	6	
453	6	
447	6	
436	6	
398	6	
388	6	
382	6	
358	6	
347	6	
341	6	
330	6	
324	6	
309	6	
288	6	
277	6	
261	6	
237	6	
226	6	
220	6	
171	6	
161	6	
140	6	
119	6	
103	6	
77	6	
71	6	
55	6	
